raw_sheet	family	grid	cells	plate	cut_names_in_cell_order	objects_seen_in_reading_order
raw/body_ice_moon.png	env	1x1	1	False	env_sheet_1x1_20260917_230055	ice moon globe
raw/deep-space-nebula-veil-a-single-square.png	env	1x1	1	True	env_sheet_1x1_20260917_213632	large central capital ship
raw/env_arena.png	env	2x1	2	False	env_arena_nav_pylon | env_arena_barricade	beacon light tower | metal barrier wall
raw/env_asteroid.png	env	3x3	9	False	env_asteroid_L1 | env_asteroid_L2 | env_asteroid_L3 | env_asteroid_M1 | env_asteroid_M2 | env_asteroid_M3 | env_asteroid_S1 | env_asteroid_S2 | env_asteroid_S3	large round asteroid | jagged vertical asteroid | pitted porous asteroid | elongated diagonal asteroid | irregular chunky asteroid | ring hole asteroid | small angular asteroid | small layered asteroid | small slanted asteroid
raw/env_asteroid_b.png	env	3x2	6	False	env_asteroid_b1 | env_asteroid_b2 | env_asteroid_b3 | env_asteroid_b4 | env_asteroid_b5 | env_asteroid_b6	long craggy asteroid | peanut shaped asteroid | porous cratered asteroid | angular brown asteroid | shard flat asteroid | chunky clustered asteroid
raw/env_base_defense.png	env	1x1	1	False	env_base_defense	armored defense station
raw/env_base_mining.png	env	1x1	1	False	env_base_mining	mining station complex
raw/env_base_shipyard.png	env	1x1	1	False	env_base_shipyard	large industrial space station
raw/env_base_trade.png	env	1x1	1	False	env_base_trade	circular trade station
raw/env_bg_body_plate.png	env	1x1	1	True	env_bg_body_plate	dark planet edge
raw/env_body_ice_moon.png	env	1x1	1	False	env_body_ice_moon	dark ice moon
raw/env_body_ore_moon.png	env	1x1	1	False	env_body_ore_moon	mined cratered moon
raw/env_body_shattered.png	env	1x1	1	False	env_body_shattered	shattered dark planet
raw/env_debris_field.png	env	1x1	1	False	env_debris_field	large hull section | engine block debris | wing panel fragment | curved hull plate | rectangular hull piece | shattered fuselage chunk | angled wing section | thin curved fragment | lower hull plate | pipe assembly wreck | small angular shard | round vent panel | flat metal section | slender shard fragment | tapered hull slice | central debris cluster
raw/env_ice_field.png	env	1x1	1	False	env_ice_field	large lit asteroid | small drifting rock | jagged central rock | upper right asteroid | left cratered rock | tiny side fragment | middle right shard | small upper right chunk | large lower left rock | small floating stone | large central boulder | lower middle fragment | bottom right asteroid | bottom center rock | lower right small debris
raw/env_jump_gate.png	env	1x1	1	False	env_jump_gate	ringed jump gate structure
raw/env_jump_gate_ring.png	env	1x1	1	False	env_jump_gate_ring	segmented jump gate ring
raw/env_loading_bg.png	env	1x1	1	True	env_loading_bg	central broken hull | upper right circular fragment | right side engine debris | lower right hull chunk | left side metal shard | bottom left curved fragment | scattered small debris
raw/env_menu_bg.png	env	1x1	1	True	env_menu_bg	broken ship hulls | glowing ember wreckage | drifting metal debris
raw/env_mine.png	env	1x1	1	False	env_mine	spiked metal mine
raw/env_nebula_veil.png	env	1x1	1	True	env_nebula_veil	dark blue nebula veil
raw/env_ore_cluster.png	env	1x1	1	False	env_ore_cluster	clustered ore asteroid
